Country Name;Region;World Rank;Region Rank;2021 Score;Property Rights;Judical Effectiveness;Government Integrity;Tax Burden;Gov't Spending;Fiscal Health;Business Freedom;Labor Freedom;Monetary Freedom;Trade Freedom;Investment Freedom ;Financial Freedom
Gabon;Sub-Saharan Africa;110;15;58,1;24,2;25,5;36,4;77,7;90,8;93,7;54,7;52,9;84,5;56,8;60;40
Gambia;Sub-Saharan Africa;104;12;58,8;41,8;44,3;35,2;76,9;84,1;54,5;56,0;67,4;63,2;66,6;65;50
Georgia;Europe;12;7;77,2;66,9;59,3;64,6;89,1;76,9;94,9;84,9;76,7;76,7;86,0;80;70
Germany;Europe;29;16;72,5;78,8;69,8;81,5;60,4;40,3;92,8;82,4;53,0;77,2;84,0;80;70
Ghana;Sub-Saharan Africa;101;11;59,2;49,3;38,2;32,3;82,8;87,8;31,7;62,9;60,9;71,7;62,4;70;60
Greece;Europe;96;44;60,9;55,5;53,5;53,6;59,9;34,2;80,0;75,8;49,8;80,0;84,0;55;50
Guatemala;Americas;75;15;64,0;43,2;32,6;30,1;91,8;94,8;92,1;61,5;48,5;77,7;75,6;70;50
Guinea;Sub-Saharan Africa;123;20;56,5;32,2;33,4;22,0;69,7;92,5;95,3;47,1;58,6;70,5;66,4;50;40
Guinea-Bissau;Sub-Saharan Africa;139;29;54,9;39,5;50,8;20,2;88,7;88,7;69,6;37,9;61,0;86,7;55,8;30;30
Guyana;Americas;116;22;57,4;44,9;40,4;38,5;64,6;77,3;69,8;58,2;62,1;81,3;66,8;55;30
Haiti;Americas;155;28;50,8;12,6;15,1;22,0;80,2;91,3;92,9;33,0;62,1;59,7;65,4;45;30
Honduras;Americas;98;19;59,8;45,5;36,0;29,1;82,2;79,3;96,7;48,7;32,0;71,8;71,8;65;60
Hungary;Europe;55;31;67,2;65,6;52,4;48,7;83,6;35,0;83,3;59,9;64,8;78,8;84,0;80;70
Iceland;Europe;11;6;77,4;87,0;72,6;90,6;72,4;46,2;97,6;83,6;62,0;79,4;86,8;80;70
India;Asia-Pacific;121;26;56,5;59,2;55,9;48,1;78,7;78,5;18,0;76,7;41,3;72,1;69,4;40;40
Indonesia;Asia-Pacific;56;10;66,9;59,4;48,9;39,1;83,7;91,8;90,7;71,3;49,2;79,0;79,2;50;60
Iran;Middle East and North Africa;168;14;47,2;33,5;28,3;31,8;80,8;90,1;82,8;57,1;50,1;42,1;54,2;5;10
Iraq;Middle East and North Africa;;;;44,8;11,0;22,0;;65,3;94,7;51,7;45,6;77,0;;;
Ireland;Europe;5;2;81,4;86,0;72,4;82,0;76,6;81,1;93,1;81,5;76,1;84,4;84,0;90;70
Israel;Middle East and North Africa;26;2;73,8;83,6;79,8;76,8;60,0;53,8;79,2;73,9;65,1;84,4;84,2;75;70
Italy;Europe;68;36;64,9;75,7;62,3;63,7;58,1;28,9;73,0;68,1;50,5;84,2;84,0;80;50
Jamaica;Americas;45;5;69,0;60,6;55,1;47,7;79,7;74,4;83,1;77,6;73,4;77,5;69,2;80;50
Japan;Asia-Pacific;23;6;74,1;87,8;75,5;82,0;67,8;57,8;67,5;85,9;79,0;85,1;80,4;60;60
Jordan;Middle East and North Africa;69;6;64,6;66,2;60,3;51,0;84,7;73,3;45,5;58,9;52,8;82,0;71,0;70;60
Kazakhstan;Asia-Pacific;34;8;71,1;60,2;62,8;44,6;93,6;86,7;98,3;76,2;86,2;70,0;74,6;50;50
Kenya;Sub-Saharan Africa;138;28;54,9;60,4;41,5;29,5;78,7;80,2;12,6;56,7;57,1;75,4;62,2;55;50
Kiribati;Asia-Pacific;171;39;44,4;44,8;33,1;27,9;70,7;0,0;98,9;32,0;63,9;82,5;23,8;25;30
Korea, North ;Asia-Pacific;178;40;5,2;27,7;5,0;20,2;0,0;0,0;0,0;5,0;5,0;0,0;0,0;0;0
Korea, South;Asia-Pacific;24;7;74,0;80,7;63,4;68,9;63,0;86,9;96,7;89,5;55,8;84,4;79,0;60;60
Kosovo;Europe;58;32;66,5;54,5;55,9;46,4;92,6;75,0;90,5;71,2;64,4;75,7;77,2;65;30
Kuwait;Middle East and North Africa;74;8;64,1;57,4;52,6;47,5;97,7;21,4;99,7;66,0;62,2;73,6;75,8;55;60
Kyrgyz Republic;Asia-Pacific;78;13;63,7;46,0;23,3;33,7;94,8;63,8;90,6;72,6;79,5;77,5;72,8;60;50
Laos;Asia-Pacific;141;32;53,9;38,8;37,6;34,5;87,1;86,8;51,1;54,7;59,1;74,5;67,8;35;20
Latvia;Europe;30;17;72,3;74,7;55,9;47,7;76,7;57,6;96,6;76,5;73,8;79,6;84,0;85;60
Lebanon;Middle East and North Africa;154;12;51,4;42,3;33,1;27,9;88,5;70,3;0,0;44,3;47,4;78,3;74,4;60;50
Lesotho;Sub-Saharan Africa;142;31;53,5;41,6;60,5;32,2;71,5;22,2;67,2;55,3;58,8;75,8;62,2;55;40
Liberia;Sub-Saharan Africa;164;42;49,2;29,5;40,4;27,0;85,8;68,3;54,3;48,9;41,4;58,5;60,8;55;20
